Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-05-13,1.72,1.72,1.72,1.72
2015-05-14,1.73,1.73,1.73,1.73
2015-05-15,1.73,1.73,1.73,1.73
2015-05-18,1.73,1.73,1.73,1.73
2015-05-19,1.74,1.74,1.74,1.74
2015-05-20,1.74,1.74,1.74,1.74
2015-05-21,1.74,1.74,1.74,1.74
2015-05-22,1.75,1.75,1.75,1.75
2015-05-25,1.75,1.75,1.75,1.75
2015-05-26,1.75,1.75,1.75,1.75
2015-05-27,1.75,1.75,1.75,1.75
2015-05-28,1.76,1.76,1.76,1.76
2015-05-29,1.76,1.76,1.76,1.76
2015-06-01,1.76,1.76,1.76,1.76
2015-06-02,1.76,1.76,1.76,1.76
2015-06-03,1.76,1.76,1.76,1.76
2015-06-05,1.76,1.76,1.76,1.76
2015-06-08,1.76,1.76,1.76,1.76
2015-06-09,1.77,1.77,1.77,1.77
2015-06-10,1.77,1.77,1.77,1.77
2015-06-11,1.77,1.77,1.77,1.77
2015-06-12,1.78,1.78,1.78,1.78
2015-06-15,1.78,1.78,1.78,1.78
2015-06-16,1.78,1.78,1.78,1.78
2015-06-17,1.78,1.78,1.78,1.78
2015-06-18,1.79,1.79,1.79,1.79
2015-06-19,1.79,1.79,1.79,1.79
2015-06-22,1.79,1.79,1.79,1.79
2015-06-23,1.79,1.79,1.79,1.79
2015-06-24,1.79,1.79,1.79,1.79
2015-06-25,1.79,1.79,1.79,1.79
2015-06-26,1.79,1.79,1.79,1.79
2015-06-29,1.79,1.79,1.79,1.79
2015-06-30,1.79,1.79,1.79,1.79
2015-07-01,1.79,1.79,1.79,1.79
2015-07-02,1.79,1.79,1.79,1.79
2015-07-03,1.79,1.79,1.79,1.79
2015-07-06,1.79,1.79,1.79,1.79
2015-07-07,1.79,1.79,1.79,1.79
2015-07-08,1.79,1.79,1.79,1.79
2015-07-09,1.79,1.79,1.79,1.79
2015-07-10,1.79,1.79,1.79,1.79
2015-07-13,1.79,1.79,1.79,1.79
2015-07-14,1.79,1.79,1.79,1.79
2015-07-15,1.79,1.79,1.79,1.79
2015-07-16,1.79,1.79,1.79,1.79
2015-07-17,1.79,1.79,1.79,1.79
2015-07-20,1.79,1.79,1.79,1.79
